P_high_MPa,P_low_MPa,T_turbine_in_C,mdot_kg_s,net_power_MW,eta,T1_C,T2_C,T3_C,T4_C
21.0,8.0,650,23.495462120720184,2.7221469750054728,0.2722146975005473,35.0,83.11878610488509,650.0,526.424294490766
21.0,8.0,700,21.754343012238678,2.7025886494164166,0.27025886494164164,35.0,83.11878610488509,700.0,572.0088175134014
21.0,8.0,750,20.234617966550285,2.681745516707759,0.26817455167077586,35.0,83.11878610488509,750.0,617.533101130111
21.0,8.0,800,18.898411830242544,2.660355791446307,0.2660355791446307,35.0,83.11878610488509,800.0000000000001,663.0029429274967
21.0,8.0,850,17.715968084459746,2.6389344424222068,0.2638934442422207,35.0,83.11878610488509,850.0000000000001,708.4233359772682
21.0,8.0,900,16.663383186143623,2.617812243545358,0.2617812243545358,35.0,83.11878610488509,900.0000000000001,753.7986440594851
24.0,8.0,650,23.102089132681435,2.9744414753503454,0.29744414753503456,35.0,89.99990636338504,650.0,510.02552773804325
24.0,8.0,700,21.410588337689113,2.9606221957130447,0.29606221957130446,35.0,89.99990636338504,700.0,555.0693894440807
24.0,8.0,750,19.929821104876467,2.9439128739629536,0.2943912873962954,35.0,89.99990636338504,750.0,600.0430665808027
24.0,8.0,800,18.625138576093743,2.9255117100503583,0.29255117100503586,35.0,89.99990636338504,800.0000000000001,644.9532938063285
24.0,8.0,850,17.468641693338583,2.906220872827947,0.2906220872827947,35.0,89.99990636338504,850.0000000000001,689.8059024927215
24.0,8.0,900,16.437732882822452,2.886580335473056,0.28865803354730557,35.0,89.99990636338504,900.0000000000001,734.6060014675091
27.0,8.0,650,22.74194074843109,3.1701554364337907,0.3170155436433791,35.0,96.18344455612191,650.0,495.68905941084097
27.0,8.0,700,21.096051368178447,3.163202723612424,0.3163202723612424,35.0,96.18344455612191,700.0,540.268363350446
27.0,8.0,750,19.6514863952616,3.1517231506264607,0.31517231506264604,35.0,96.18344455612191,750.0,584.7688259288135
27.0,8.0,800,18.376089627777397,3.1373180770679996,0.3137318077068,35.0,96.18344455612191,800.0000000000001,629.1978960227475
27.0,8.0,850,17.24367868208574,3.1210828130934973,0.31210828130934976,35.0,96.18344455612191,850.0000000000001,673.5620833889441
27.0,8.0,900,16.23286824947864,3.1037735803611275,0.3103773580361127,35.0,96.18344455612191,900.0000000000001,717.8671218136277
30.0,8.0,650,22.413344563233835,3.3242788904048655,0.33242788904048653,35.0,101.82152157293007,650.0,482.9679662881913
30.0,8.0,700,20.809277053936967,3.3248654445048804,0.33248654445048803,35.0,101.82152157293007,700.0,527.1404068683479
30.0,8.0,750,19.39796588513127,3.319271530480326,0.3319271530480326,35.0,101.82152157293007,750.0,571.2265986803574
30.0,8.0,800,18.14949564692069,3.3094890429502515,0.33094890429502516,35.0,101.82152157293007,800.0000000000001,615.2344709867523
30.0,8.0,850,17.039238199686217,3.2969009778125202,0.329690097781252,35.0,101.82152157293007,850.0000000000001,659.1710450679693
30.0,8.0,900,16.046911951059155,3.2824782240885715,0.32824782240885714,35.0,101.82152157293007,900.0000000000001,703.0425556911157
33.0,8.0,650,22.113817781570834,3.4470885814160126,0.3447088581416013,35.0,107.02045716754418,650.0,471.5473178365636
33.0,8.0,700,20.54781805791572,3.4555456562139417,0.34555456562139414,35.0,107.02045716754418,700.0,515.3577304694505
33.0,8.0,750,19.16686417918536,3.456199181668881,0.3456199181668881,35.0,107.02045716754418,750.0,559.075689746893
33.0,8.0,800,17.943023730230934,3.4514098250364285,0.34514098250364283,35.0,107.02045716754418,800.0000000000001,602.7093704968206
33.0,8.0,850,16.85305613882519,3.442835834342412,0.3442835834342412,35.0,107.02045716754418,850.0000000000001,646.2661378274073
33.0,8.0,900,15.877671927495978,3.431655776164712,0.34316557761647126,35.0,107.02045716754418,900.0000000000001,689.7526032809516
35.0,8.0,650,21.928933404698917,3.5152399406566133,0.3515239940656613,35.0,110.2813763884734,650.0,464.53978095265325
35.0,8.0,700,20.38631313700607,3.5290120766662363,0.35290120766662364,35.0,110.2813763884734,700.0,508.1290605633143
35.0,8.0,750,19.02406208463653,3.533930486503994,0.3533930486503994,35.0,110.2813763884734,750.0,551.6223903822238
35.0,8.0,800,17.815430294950787,3.532587034169869,0.3532587034169869,35.0,110.2813763884734,800.0000000000001,595.0279818781728
35.0,8.0,850,16.738072246056987,3.5268272281580137,0.3526827228158014,35.0,110.2813763884734,850.0000000000001,638.353338241663
35.0,8.0,900,15.773439926547145,3.5179961547265663,0.35179961547265665,35.0,110.2813763884734,900.0000000000001,681.6052546060018
